id,audit_1,audit_2,audit_1_agrees,audit_2_agrees,both_audits_agree
e104500,B,B,True,True,True
e107194,B,B,True,True,True
e112381,B,B,True,True,True
e115286,B,B,True,True,True
e116018,B,B,True,True,True
e117285,B,B,True,True,True
e123276,B,B,True,True,True
e123750,B,B,True,True,True
e126119,B,B,True,True,True
e136130,B,B,True,True,True
e138925,B,B,True,True,True
e149232,C,B,False,True,False
e149636,B,B,True,True,True
e158209,B,B,True,True,True
e159584,B,B,True,True,True
e160554,B,B,True,True,True
e161001,B,B,True,True,True
e167029,B,B,True,True,True
e167363,B,B,True,True,True
e168057,B,B,True,True,True
e175890,B,B,True,True,True
e177634,B,B,True,True,True
e182306,B,B,True,True,True
e191647,B,B,True,True,True
e192668,B,B,True,True,True
e195720,B,B,True,True,True
e208208,B,B,True,True,True
e211999,B,B,True,True,True
e214638,B,B,True,True,True
e215267,B,B,True,True,True
e222314,B,B,True,True,True
e224123,C,B,False,True,False
e227316,B,B,True,True,True
e230868,B,B,True,True,True
e231603,B,B,True,True,True
e239295,B,C,True,False,False
e242508,B,B,True,True,True
e245015,B,B,True,True,True
e245586,B,B,True,True,True
e249597,B,B,True,True,True
e257479,B,B,True,True,True
e266383,B,B,True,True,True
e269142,B,B,True,True,True
e269359,B,B,True,True,True
e269940,B,B,True,True,True
e271575,B,B,True,True,True
e280334,B,B,True,True,True
e280448,B,B,True,True,True
e282243,B,B,True,True,True
e286022,B,B,True,True,True
e292429,B,B,True,True,True
e293727,B,B,True,True,True
e295481,B,B,True,True,True
e310200,B,B,True,True,True
e314391,B,B,True,True,True
e315995,B,B,True,True,True
e322785,B,B,True,True,True
e334539,B,B,True,True,True
e345957,B,B,True,True,True
e347223,B,B,True,True,True
e358391,B,B,True,True,True
e358760,B,B,True,True,True
e365088,B,B,True,True,True
e367876,B,B,True,True,True
e372525,neither,B,False,True,False
e375642,B,B,True,True,True
e377040,B,B,True,True,True
e382692,B,B,True,True,True
e385608,C,B,False,True,False
e393194,B,C,True,False,False
e393464,B,B,True,True,True
e400162,B,B,True,True,True
e402556,B,B,True,True,True
e406118,B,B,True,True,True
e408018,B,B,True,True,True
e409792,B,B,True,True,True
e411947,B,B,True,True,True
e429520,B,B,True,True,True
e433119,B,B,True,True,True
e433270,B,B,True,True,True
e437483,B,B,True,True,True
e438502,B,B,True,True,True
e441087,B,B,True,True,True
e444577,B,B,True,True,True
e444915,B,B,True,True,True
e445571,B,B,True,True,True
e449534,B,B,True,True,True
e451329,B,B,True,True,True
e460139,C,B,False,True,False
e463179,B,B,True,True,True
e464045,B,B,True,True,True
e470271,B,B,True,True,True
e472464,B,B,True,True,True
e478161,B,B,True,True,True
e478188,B,B,True,True,True
e478381,B,B,True,True,True
e479745,B,B,True,True,True
e480131,B,B,True,True,True
e491714,B,B,True,True,True
e492437,B,B,True,True,True
e495461,B,B,True,True,True
e497456,B,B,True,True,True
e511029,B,B,True,True,True
e515293,B,B,True,True,True
e527974,B,B,True,True,True
e529610,B,B,True,True,True
e534757,B,B,True,True,True
e535396,B,B,True,True,True
e535562,B,B,True,True,True
e541035,C,B,False,True,False
e558518,B,B,True,True,True
e563179,B,B,True,True,True
e564214,B,B,True,True,True
e570367,B,B,True,True,True
e578352,B,B,True,True,True
e579607,B,B,True,True,True
e579873,B,B,True,True,True
e590577,B,B,True,True,True
e594670,B,B,True,True,True
e598211,B,B,True,True,True
e599508,B,B,True,True,True
e602550,B,B,True,True,True
e609396,B,B,True,True,True
e612735,B,B,True,True,True
e620045,B,B,True,True,True
e621976,B,B,True,True,True
e624782,B,B,True,True,True
e628765,B,B,True,True,True
e629289,B,B,True,True,True
e629454,B,B,True,True,True
e630427,B,B,True,True,True
e632673,B,B,True,True,True
e633721,B,B,True,True,True
e649147,B,B,True,True,True
e650040,B,B,True,True,True
e656482,B,B,True,True,True
e660306,B,C,True,False,False
e661245,C,B,False,True,False
e664310,B,B,True,True,True
e665956,B,B,True,True,True
e668083,B,B,True,True,True
e668841,B,B,True,True,True
e671472,B,B,True,True,True
e671952,C,B,False,True,False
e675540,C,B,False,True,False
e676013,B,B,True,True,True
e677760,B,B,True,True,True
e682986,B,B,True,True,True
e684845,B,B,True,True,True
e687961,B,C,True,False,False
e689149,B,B,True,True,True
e690672,B,B,True,True,True
e692313,B,B,True,True,True
e693438,B,B,True,True,True
e696200,B,B,True,True,True
e699555,B,B,True,True,True
e711069,B,B,True,True,True
e713368,B,B,True,True,True
e716892,B,B,True,True,True
e721871,B,B,True,True,True
e729209,B,B,True,True,True
e729603,B,B,True,True,True
e732875,B,B,True,True,True
e735008,B,B,True,True,True
e735739,B,B,True,True,True
e742051,B,B,True,True,True
e748039,B,B,True,True,True
e750120,B,B,True,True,True
e751725,B,B,True,True,True
e759795,B,B,True,True,True
e760826,C,B,False,True,False
e771712,B,B,True,True,True
e779700,B,B,True,True,True
e780705,B,B,True,True,True
e782208,B,B,True,True,True
e782459,B,B,True,True,True
e782824,B,B,True,True,True
e784832,B,B,True,True,True
e790209,B,B,True,True,True
e791685,B,B,True,True,True
e792357,B,B,True,True,True
e792904,B,B,True,True,True
e793029,C,B,False,True,False
e794699,B,B,True,True,True
e796327,B,B,True,True,True
e797829,B,B,True,True,True
e802980,B,B,True,True,True
e806677,B,B,True,True,True
e809235,B,B,True,True,True
e814005,B,B,True,True,True
e818481,B,B,True,True,True
e819740,B,B,True,True,True
e821044,B,B,True,True,True
e821660,B,B,True,True,True
e825330,B,B,True,True,True
e826013,B,B,True,True,True
e826355,B,B,True,True,True
e836308,B,B,True,True,True
e837276,B,B,True,True,True
e838439,B,B,True,True,True
e843984,B,B,True,True,True
e853899,B,B,True,True,True
e860383,B,B,True,True,True
e867758,B,B,True,True,True
e873827,B,B,True,True,True
e875287,B,B,True,True,True
e876711,B,B,True,True,True
e885393,B,B,True,True,True
e886494,B,B,True,True,True
e888857,B,B,True,True,True
e889561,B,B,True,True,True
e892350,B,B,True,True,True
e896152,B,B,True,True,True
e897599,B,B,True,True,True
e899130,B,B,True,True,True
e899499,B,B,True,True,True
e904759,B,B,True,True,True
e905292,B,B,True,True,True
e909061,B,B,True,True,True
e918142,B,B,True,True,True
e920916,B,B,True,True,True
e926843,B,B,True,True,True
e935599,B,B,True,True,True
e936853,B,B,True,True,True
e940305,B,B,True,True,True
e942370,B,B,True,True,True
e945953,B,B,True,True,True
e948218,B,B,True,True,True
e948707,B,B,True,True,True
e958112,B,B,True,True,True
e961947,B,B,True,True,True
e970100,B,B,True,True,True
e979356,B,B,True,True,True
e979543,B,B,True,True,True
e986961,B,B,True,True,True
e987456,B,B,True,True,True
e989337,B,B,True,True,True
e989918,B,B,True,True,True
e990329,B,B,True,True,True
e996895,B,B,True,True,True
