anchor_topic,method,n_triplets,correct_score,accuracy,mean_margin
agriculture,concept207,24,15,0.625,0.0812585199581
agriculture,embedding,24,6,0.25,-0.0650029419465
agriculture,hybrid50,24,11,0.458333333333,0.00812778900581
arts,concept207,24,17,0.708333333333,0.0842429143177
arts,embedding,24,9,0.375,-0.0446237849022
arts,hybrid50,24,16,0.666666666667,0.0198095647078
community_projects,concept207,24,13,0.541666666667,-0.0136543806341
community_projects,embedding,24,12,0.5,-0.0183272189559
community_projects,hybrid50,24,11,0.458333333333,-0.015990799795
education,concept207,24,14,0.583333333333,0.0641945349155
education,embedding,24,9,0.375,-0.033518376481
education,hybrid50,24,12,0.5,0.0153380792173
healthcare,concept207,24,10,0.416666666667,0.0194870249695
healthcare,embedding,24,12,0.5,-0.00068914100293
healthcare,hybrid50,24,12,0.5,0.00939894198326
public_services,concept207,24,18,0.75,0.137841571904
public_services,embedding,24,14,0.583333333333,0.00725738863698
public_services,hybrid50,24,15,0.625,0.0725494802707
science,concept207,24,17,0.708333333333,0.0351575734144
science,embedding,24,13,0.541666666667,-0.005751209167
science,hybrid50,24,14,0.583333333333,0.0147031821237
small_business,concept207,24,17,0.708333333333,0.151018643939
small_business,embedding,24,13,0.541666666667,0.0268180140602
small_business,hybrid50,24,17,0.708333333333,0.0889183289994
software,concept207,24,12,0.5,0.000307484346629
software,embedding,24,13,0.541666666667,0.011126359264
software,hybrid50,24,13,0.541666666667,0.00571692180532
sport,concept207,24,12,0.5,0.0051983062327
sport,embedding,24,10,0.416666666667,0.00522533478053
sport,hybrid50,24,12,0.5,0.00521182050662
