author,method,n_triplets,correct_score,accuracy,mean_margin
0,concept207,60,36,0.6,0.0529834959574
0,embedding,60,27,0.45,-0.0148199497991
0,hybrid50,60,36,0.6,0.0190817730792
1,concept207,60,35,0.583333333333,0.022858919926
1,embedding,60,32,0.533333333333,0.00147590473275
1,hybrid50,60,34,0.566666666667,0.0121674123294
2,concept207,60,30,0.5,0.0324310346845
2,embedding,60,20,0.333333333333,-0.0403389335659
2,hybrid50,60,27,0.45,-0.00395394944068
3,concept207,60,44,0.733333333333,0.117747426777
3,embedding,60,32,0.533333333333,0.00668874834671
3,hybrid50,60,36,0.6,0.0622180875621
