conflict,method,n_triplets,correct_score,accuracy,mean_margin
ambition_vs_belonging,concept207,20,13,0.65,0.0761230378911
ambition_vs_belonging,embedding,20,6,0.3,-0.0671935528141
ambition_vs_belonging,hybrid50,20,11,0.55,0.0044647425385
autonomy_vs_approval,concept207,20,8,0.4,-0.0635709288973
autonomy_vs_approval,embedding,20,6,0.3,-0.0666730008244
autonomy_vs_approval,hybrid50,20,7,0.35,-0.0651219648608
change_vs_tradition,concept207,20,12,0.6,0.0535485781634
change_vs_tradition,embedding,20,12,0.6,-0.000708590546296
change_vs_tradition,hybrid50,20,12,0.6,0.0264199938085
discipline_vs_comfort,concept207,20,13,0.65,0.105145700742
discipline_vs_comfort,embedding,20,13,0.65,0.0210223024056
discipline_vs_comfort,hybrid50,20,13,0.65,0.0630840015736
fairness_vs_mercy,concept207,20,15,0.75,0.0647177423917
fairness_vs_mercy,embedding,20,13,0.65,0.0236708761309
fairness_vs_mercy,hybrid50,20,15,0.75,0.0441943092613
freedom_vs_safety,concept207,20,10,0.5,-0.00964147943307
freedom_vs_safety,embedding,20,9,0.45,-0.0278009334503
freedom_vs_safety,hybrid50,20,7,0.35,-0.0187212064417
health_vs_duty,concept207,20,13,0.65,0.0689677869132
health_vs_duty,embedding,20,7,0.35,-0.039522691466
health_vs_duty,hybrid50,20,10,0.5,0.0147225477236
personal_gain_vs_collective_impact,concept207,20,10,0.5,0.0345992546176
personal_gain_vs_collective_impact,embedding,20,6,0.3,-0.0552370073607
personal_gain_vs_collective_impact,hybrid50,20,9,0.45,-0.0103188763715
privacy_vs_openness,concept207,20,11,0.55,0.065303298021
privacy_vs_openness,embedding,20,8,0.4,0.0258208474215
privacy_vs_openness,hybrid50,20,11,0.55,0.0455620727212
quality_vs_speed,concept207,20,10,0.5,0.0216457001944
quality_vs_speed,embedding,20,9,0.45,-0.0148228172009
quality_vs_speed,hybrid50,20,12,0.6,0.00341144149674
security_vs_care,concept207,20,17,0.85,0.155343027206
security_vs_care,embedding,20,11,0.55,0.0079786235345
security_vs_care,hybrid50,20,14,0.7,0.0816608253703
truth_vs_loyalty,concept207,20,13,0.65,0.105880914226
truth_vs_loyalty,embedding,20,11,0.55,0.0524832533137
truth_vs_loyalty,hybrid50,20,12,0.6,0.0791820837701
