method,baseline,grouping,metric,difference,low,high
hybrid50,embedding,conflict_and_topic,accuracy,0.0916666666667,0.00416666666667,0.195833333333
hybrid50,embedding,conflict_and_topic,mean_margin,0.0341268884539,0.00953896632287,0.0598640589663
hybrid50,embedding,conflict,accuracy,0.0916666666667,0.0375,0.141666666667
hybrid50,embedding,conflict,mean_margin,0.0341268884539,0.0219379916824,0.0470878228381
hybrid50,embedding,anchor_topic,accuracy,0.0916666666667,0.0333333333333,0.154166666667
hybrid50,embedding,anchor_topic,mean_margin,0.0341268884539,0.0155512475527,0.0521347950608
concept207,embedding,conflict_and_topic,accuracy,0.141666666667,0.025,0.270833333333
concept207,embedding,conflict_and_topic,mean_margin,0.0682537769077,0.0190779326457,0.119728117933
concept207,embedding,conflict,accuracy,0.141666666667,0.0791666666667,0.208333333333
concept207,embedding,conflict,mean_margin,0.0682537769077,0.0438759833648,0.0941756456763
concept207,embedding,anchor_topic,accuracy,0.141666666667,0.0541666666667,0.229166666667
concept207,embedding,anchor_topic,mean_margin,0.0682537769077,0.0311024951054,0.104269590122
hybrid50,concept207,conflict_and_topic,accuracy,-0.05,-0.125,0.025
hybrid50,concept207,conflict_and_topic,mean_margin,-0.0341268884539,-0.0598640589663,-0.00953896632287
hybrid50,concept207,conflict,accuracy,-0.05,-0.0916666666667,-0.00833333333333
hybrid50,concept207,conflict,mean_margin,-0.0341268884539,-0.0470878228381,-0.0219379916824
hybrid50,concept207,anchor_topic,accuracy,-0.05,-0.0958333333333,-0.00416666666667
hybrid50,concept207,anchor_topic,mean_margin,-0.0341268884539,-0.0521347950608,-0.0155512475527
