method,baseline,excluded_author,n_triplets,accuracy_difference,margin_difference
hybrid50,embedding,0,180,0.0722222222222,0.0342019436457
hybrid50,embedding,1,180,0.111111111111,0.0419386820729
hybrid50,embedding,2,180,0.0833333333333,0.0333741898967
hybrid50,embedding,3,180,0.1,0.0269927382
concept207,embedding,0,180,0.138888888889,0.0684038872915
concept207,embedding,1,180,0.172222222222,0.0838773641459
concept207,embedding,2,180,0.133333333333,0.0667483797935
concept207,embedding,3,180,0.122222222222,0.0539854764001
hybrid50,concept207,0,180,-0.0666666666667,-0.0342019436457
hybrid50,concept207,1,180,-0.0611111111111,-0.0419386820729
hybrid50,concept207,2,180,-0.05,-0.0333741898967
hybrid50,concept207,3,180,-0.0222222222222,-0.0269927382
