family,replicate,map_seed,blend,correct_score,accuracy,mean_margin
gaussian,0,20260911,hybrid50,113,0.470833333333,-0.0131424998849
gaussian,0,20260911,projection,111,0.4625,-0.0145364421984
gaussian,1,20260912,hybrid50,105,0.4375,-0.0126528231964
gaussian,1,20260912,projection,108,0.45,-0.0135570888214
gaussian,2,20260913,hybrid50,109,0.454166666667,-0.0154155255896
gaussian,2,20260913,projection,114,0.475,-0.0190824936077
gaussian,3,20260914,hybrid50,111,0.4625,-0.0175796354269
gaussian,3,20260914,projection,111,0.4625,-0.0234107132824
gaussian,4,20260915,hybrid50,111,0.4625,-0.00693444438535
gaussian,4,20260915,projection,115,0.479166666667,-0.00212033119932
gaussian,5,20260916,hybrid50,102,0.425,-0.0149106891944
gaussian,5,20260916,projection,105,0.4375,-0.0180728208175
gaussian,6,20260917,hybrid50,115,0.479166666667,-0.0130644960252
gaussian,6,20260917,projection,115,0.479166666667,-0.014380434479
gaussian,7,20260918,hybrid50,110,0.458333333333,-0.0111356644194
gaussian,7,20260918,projection,115,0.479166666667,-0.0105227712675
gaussian,8,20260919,hybrid50,113,0.470833333333,-0.00837460147097
gaussian,8,20260919,projection,117,0.4875,-0.00500064537057
gaussian,9,20260920,hybrid50,118,0.491666666667,-0.00789704010268
gaussian,9,20260920,projection,115,0.479166666667,-0.00404552263399
gaussian,10,20260921,hybrid50,107,0.445833333333,-0.0160832943166
gaussian,10,20260921,projection,106,0.441666666667,-0.0204180310619
gaussian,11,20260922,hybrid50,115,0.479166666667,-0.0102158620179
gaussian,11,20260922,projection,114,0.475,-0.00868316646442
gaussian,12,20260923,hybrid50,113,0.470833333333,-0.0144825367209
gaussian,12,20260923,projection,113,0.470833333333,-0.0172165158704
gaussian,13,20260924,hybrid50,110,0.458333333333,-0.0184866056445
gaussian,13,20260924,projection,105,0.4375,-0.0252246537176
gaussian,14,20260925,hybrid50,108,0.45,-0.0127849695558
gaussian,14,20260925,projection,108,0.45,-0.0138213815403
gaussian,15,20260926,hybrid50,102,0.425,-0.0128317517383
gaussian,15,20260926,projection,111,0.4625,-0.0139149459053
gaussian,16,20260927,hybrid50,116,0.483333333333,-0.0101398332099
gaussian,16,20260927,projection,116,0.483333333333,-0.00853110884837
gaussian,17,20260928,hybrid50,117,0.4875,-0.00820808067512
gaussian,17,20260928,projection,118,0.491666666667,-0.00466760377887
gaussian,18,20260929,hybrid50,113,0.470833333333,-0.0124301448645
gaussian,18,20260929,projection,119,0.495833333333,-0.0131117321577
gaussian,19,20260930,hybrid50,109,0.454166666667,-0.011156343873
gaussian,19,20260930,projection,112,0.466666666667,-0.0105641301745
gaussian,20,20260931,hybrid50,119,0.495833333333,-0.00716412659675
gaussian,20,20260931,projection,129,0.5375,-0.00257969562212
gaussian,21,20260932,hybrid50,113,0.470833333333,-0.0138559805774
gaussian,21,20260932,projection,110,0.458333333333,-0.0159634035835
gaussian,22,20260933,hybrid50,107,0.445833333333,-0.00787420348925
gaussian,22,20260933,projection,116,0.483333333333,-0.00399984940713
gaussian,23,20260934,hybrid50,105,0.4375,-0.0218377274352
gaussian,23,20260934,projection,97,0.404166666667,-0.031926897299
gaussian,24,20260935,hybrid50,113,0.470833333333,-0.0146287957194
gaussian,24,20260935,projection,110,0.458333333333,-0.0175090338674
gaussian,25,20260936,hybrid50,118,0.491666666667,-0.0128021012647
gaussian,25,20260936,projection,116,0.483333333333,-0.0138556449579
gaussian,26,20260937,hybrid50,109,0.454166666667,-0.0122348822404
gaussian,26,20260937,projection,111,0.4625,-0.0127212069095
gaussian,27,20260938,hybrid50,114,0.475,-0.0130300656594
gaussian,27,20260938,projection,115,0.479166666667,-0.0143115737474
gaussian,28,20260939,hybrid50,108,0.45,-0.0146798034597
gaussian,28,20260939,projection,107,0.445833333333,-0.017611049348
gaussian,29,20260940,hybrid50,113,0.470833333333,-0.0119019539989
gaussian,29,20260940,projection,114,0.475,-0.0120553504264
spectrum_matched,0,20261911,hybrid50,123,0.5125,0.00833897669475
spectrum_matched,0,20261911,projection,123,0.5125,0.0284265109609
spectrum_matched,1,20261912,hybrid50,98,0.408333333333,-0.0307985480382
spectrum_matched,1,20261912,projection,102,0.425,-0.049848538505
spectrum_matched,2,20261913,hybrid50,134,0.558333333333,0.0223159188058
spectrum_matched,2,20261913,projection,134,0.558333333333,0.0563803951831
